ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
866,1/31/2021,2021,Late Jan 2021,UK Research and Innovation,"UK, Belgium",,,,Government Facilities,,,,Announcement of recovery on Feb 17,1 month or less,,,,No,N/A,N/A,https://www.zdnet.com/article/uk-research-and-innovation-suffers-ransomware-attack/; https://www.ukri.org/news/ukri-response-to-it-incident/; https://www.ukri.org/news/ukri-response-to-it-incident/,,
867,2/1/2021,2021,Feb-21,Discount Car and Truck Rentals ,Canada,,,,Transportation Systems,,DarkSide,,,,,,,,,,https://www.bleepingcomputer.com/news/security/leading-canadian-rental-car-company-hit-by-darkside-ransomware/,,
868,2/1/2021,2021,Feb-21,Standley Systems (vendor to Healthcare Sector),OK,,,,Information Technology,Healthcare and Public Health,Revil/sodinokibi,S0496,,,,,,No,N/A,N/A,https://healthitsecurity.com/news/ransomware-actors-leak-data-from-3-more-healthcare-related-entities,,
869,2/1/2021,2021,Feb-21,Rehoboth McKinley Christian Health Care Services,NM,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://healthitsecurity.com/news/ransomware-actors-leak-data-from-3-more-healthcare-related-entities,,
870,2/1/2021,2021,Feb-21,Capital Medical Center,WA,,,,Healthcare and Public Health,,Avaddon,,,,,,,,,,https://healthitsecurity.com/news/ransomware-actors-leak-data-from-3-more-healthcare-related-entities,,
871,2/1/2021,2021,Feb-21,Yuba County,CA,,,,Government Facilities,,,,,,,,,No,N/A,N/A,https://www.govtech.com/security/California-County-Focuses-on-Recovery-After-Ransomware-Attack.html,,
872,2/1/2021,2021,Feb-21,Carnegie Clean Energy,Australia,,,,Energy,,Avaddon,,,,,,,,,,https://www.afr.com/politics/federal/hacked-renewables-firm-coffee-roaster-hit-by-ransomware-attacks-20210222-p574jy,,
873,2/1/2021,2021,Feb-21,Segafredo Zanetti,Italy,,,,Food and Agriculture,,DarkSide,,,,,,,,,,https://www.afr.com/politics/federal/hacked-renewables-firm-coffee-roaster-hit-by-ransomware-attacks-20210222-p574jy,,
874,2/1/2021,2021,Feb-21,Ministerio de Economía y Finanzas de Ecuador (Ecuador's Ministry of Finance),Ecuador,,,,Government Facilities,Financial Services,Ronggolawe/AwesomeWare,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-gang-hacks-ecuadors-largest-private-bank-ministry-of-finance/,,
875,2/1/2021,2021,Feb 2021,Rehoboth McKinley Christian Health Care Services,NM,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/hackers-post-new-mexico-hospital-employees-info-online-after-ransomware-attack.html,,
876,2/1/2021,2021,February 2021,Centrais Eletricas Brasileiras (Eletrobras),Brazil,,,,Energy,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/eletrobras-copel-energy-companies-hit-by-ransomware-attacks/,,
877,2/1/2021,2021,,Companhia Paranaense de Energia (Copel),Brazil,,,,Energy,,DarkSide,,,,,,,,,,https://www.bleepingcomputer.com/news/security/eletrobras-copel-energy-companies-hit-by-ransomware-attacks/,,
878,2/1/2021,2021,Feb 2021,Newberry County Memorial Hospital,SC,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.hipaajournal.com/ransomware-gangs-claim-three-more-healthcare-victims/,,
879,2/1/2021,2021,February 2021,Home Hardware Stores Ltd,Canada,,,,Commercial Facilities,,DarkSide,,,,,,,,,,https://thestarphoenix.com/technology/tech-news/canadian-retailer-home-hardware-hit-by-ransomware,,
880,2/3/2021,2021,,Nocona General Hospital,TX,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://www.scmagazine.com/home/security-news/ransomware/conti-ransomware-gang-tied-to-latest-attacks-on-hospitals-in-florida-and-texas/,,
881,2/3/2021,2021,,Automatic Funds Transfer Services Inc. (vendor to city of Bainbridge Island),WA,,,,Financial Services,,Cuba,,,,,,,,,,https://www.bleepingcomputer.com/news/security/us-cities-disclose-data-breaches-after-vendors-ransomware-attack/,,
882,2/5/2021,2021,,Mutuelle Nationale des Hospitaliers (MNH),France,,,,Healthcare and Public Health,,RansomExx/defray,,,,,,,,,,https://www.healthcareitnews.com/news/french-health-insurance-company-mnh-hit-ransomware-attack,,
883,2/7/2021,2021,,ECU Worldwide,Global,,,,Transportation Systems,,Mount Locker,,,,,,,,,,https://www.freightwaves.com/news/hackers-threaten-shipping-firm-ecu-worldwide-with-data-leak,,
884,2/8/2021,2021,,Center Hospitalier de Dax-Côte d’Argent,France,,,,Healthcare and Public Health,,Egregor,,Several weeks,1 month or less,,,,,,,https://portswigger.net/daily-swig/dax-cote-dargent-hospital-in-france-hit-by-ransomware-attack,,
885,2/8/2021,2021,,Netherlands Organisation for Scientific Research (NWO),Netherlands,,,,Government Facilities,,,,,More than 1 month,,,,No,N/A,N/A,https://www.sciencemag.org/news/2021/02/dutch-research-funding-agency-paralyzed-ransomware-attack-refuses-pay,,
886,2/8/2021,2021,,Cuyahoga Metropolitan Housing Authority,OH,,,,Government Facilities,,DoppelPaymer,,,,,,,,,,https://www.news5cleveland.com/news/local-news/in-depth/in-depth-cleveland-fbi-investigating-cmha-computer-ransomware-attack,,
887,2/10/2021,2021,,Central Piedmont Community College (CPCC),NC,,,,Education Facilities Subsector,,,,At least 2 weeks,1 month or less,,,,,,,https://www.wbtv.com/2021/02/12/central-piedmont-community-college-experiences-ransomware-attack/; https://www.charlotteobserver.com/news/local/article249285260.html,,
888,2/11/2021,2021,,Midwest Transplant Network,KS,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.kcur.org/health/2021-05-03/ransomware-attack-on-midwest-transplant-network-affects-more-than-17-000,,
889,2/13/2021,2021,,Underwriters Laboratories (UL),Global,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/underwriters-laboratories-ul-certification-giant-hit-by-ransomware/,,
890,2/15/2021,2021,,Villefranche-sur-Saône (Rhône) Hospital Center,France,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,,,,https://www.databreaches.net/villefranche-sur-saone-hospital-victim-of-a-computer-attack/,,
891,2/16/2021,2021,,Kia Motors America (KMA),USA,,,,Critical Manufacturing,,DoppelPaymer,,,,404 bitcoin,$20 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/kia-motors-america-suffers-ransomware-attack-20-million-ransom/,,"Ransom note is directed at Kia's parent company, Hyundai Motor America. Ransom demand increases to 600 bitcoin if not paid within designated time frame. Kia motors denies ransomware attack"
892,2/20/2021,2021,,Saginaw Township Community Schools,MI,,,,Education Facilities Subsector,,,,,,,,,,,,https://techgenix.com/school-district-ransomware-attack/,,
893,2/22/2021,2021,,TietoEVRY,Scandinavia,,,,Information Technology,,,,,,,,,,,,https://www.tietoevry.com/en/newsroom/all-news-and-releases/other-news/2021/02/information-about-ransomware-attack-in-norway/,,
894,2/22/2021,2021,,St. Margaret’s Health–Spring Valley,IL,,,,Healthcare and Public Health,,,,,,,,,,,,https://healthitsecurity.com/news/100k-patients-impacted-by-cochise-eye-and-laser-ransomware-attack,,
895,2/23/2021,2021,,Allergy Partners,NC,,,,Healthcare and Public Health,,,,,,,$1.7 million,$5000000 or less,,,,https://www.beckershospitalreview.com/cybersecurity/hackers-demand-1-75m-from-north-carolina-clinic-during-6-day-ransomware-attack.html,,
896,2/26/2021,2021,,Kaman,USA,,,,Critical Manufacturing,,,,,,,,,,,,https://aviationweek.com/aerospace/manufacturing-supply-chain/kaman-hit-ransomware-attack-biden-foreign-policy-change,,
897,2/26/2021,2021,,City of Kingman,AZ,,,,Government Facilities,,,,,,,,,,,,https://www.kold.com/2021/03/03/national-guard-supports-city-kingman-following-ransomware-attack/,,
898,2/27/2021,2021,,Compucom (MSP),,,,,Information Technology,,DarkSide,,,,,,,,,,https://www.bleepingcomputer.com/news/security/compucom-msp-hit-by-darkside-ransomware-cyberattack/,,
899,2/28/2021,2021,,PrismHR,MA,,,,Information Technology,Financial Services,,,,,,,,,,,https://krebsonsecurity.com/2021/03/payroll-hr-giant-prismhr-hit-by-ransomware/,,
900,3/1/2021,2021,March 2021,Spain's State Public Employment Service (SEPE),Spain,,,,Government Facilities,,,,,,,,,,,,https://www.cyberscoop.com/spain-ransomware-employment-agency-sepe/,,
901,3/1/2021,2021,March 2021,Molson Coors,IL,,,,Food and Agriculture,,,,,,,,,,,,https://solutionsreview.com/endpoint-security/alleged-ransomware-attack-hits-molson-coors-expert-commentary/,,
902,3/1/2021,2021,March 2021,Edsembli (service provider for Nunavut’s Department of Education),Canada,,,,Information Technology,Education Facilities Subsector,,,,,,,,,,,https://nunatsiaq.com/stories/article/nunavut-schools-suffer-ransomware-attack/,,
903,3/1/2021,2021,March 2021,South and City College,UK,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.birminghammail.co.uk/news/midlands-news/students-told-stay-home-week-20150964,,
904,3/1/2021,2021,March 2021,Broward County Public Schools,FL,,,,Education Facilities Subsector,,Conti,S0575,2 weeks,1 month or less,$40 million in bitcoin,$40 million ,More than $5000000,No,N/A,N/A,"https://www.infosecurity-magazine.com/news/florida-school-district-40m-ransom/#:~:text=Cyber%2Dcriminals%20behind%20a%20cyber,in%20a%20Conti%20gang%20operation.",,"Offered to pay $500,00, but Conti rejected the offer"
905,3/1/2021,2021,March 2021,Acer,,,,,Critical Manufacturing,,Revil/sodinokibi,S0496,,,,$50 million,More than $5000000,,,,https://www.industryweek.com/technology-and-iiot/article/21158970/did-acer-suffer-a-ransomware-attack,,
906,3/3/2021,2021,,Faxinating Solutions,Canada,,,,Information Technology,Transportation Systems,,,,,,,,,,,https://www.freightwaves.com/news/ransomware-attack-on-edi-provider-highlights-cyber-risks-in-supply-chain,,
907,3/8/2021,2021,,Hospital in Oloron-Sainte-Marie,France,,,,Healthcare and Public Health,,,,,,"$50,000 in bitcoin","$50,000",$50000 or less,,,,https://techxplore.com/news/2021-03-french-hospital-cyberattack.html,,
908,3/12/2021,2021,,Buffalo Public Schools,NY,,,,Education Facilities Subsector,,,,,,,,,,,,https://buffalonews.com/news/local/education/buffalo-public-schools-was-victim-of-ransomware-attack/article_e9efa01c-8335-11eb-9b7a-83dd46be27ee.html,,
909,3/12/2021,2021,,R. E. Gilmore Investments Corp.,Canada,,,,Critical Manufacturing,,,,,,,,,,,,https://www.itbusiness.ca/news/ottawa-warns-of-possible-ransomware-attack-on-firm-that-provides-services/117453,,
910,3/13/2021,2021,,Acer,Taiwan,,,,Information Technology,,Revil/sodinokibi,S0496,,,213793.5 XMR,$50 million,More than $5000000,,,,https://therecord.media/ransomware-gang-demands-50-million-from-computer-maker-acer/,,
911,3/17/2021,2021,,Stratus Technologies,MA,,,,Information Technology,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/high-availability-server-maker-stratus-hit-by-ransomware/,,
912,3/20/2021,2021,,Sierra Wireless,Canada,,,,Information Technology,,,,,,,,,,,,https://www.businesswire.com/news/home/20210323005460/en/Sierra-Wireless-Announces-Ransomware-Attack,,
913,3/20/2021,2021,,Tightwrapz Printshop,KS,,,,Commercial Facilities,,,,,,0.01 bitcoin,,,,,,https://www.ksn.com/news/local/ransomware-attack-targets-area-business-fbi-weighs-in/,,
914,3/21/2021,2021,,CNA (Insurance Giant),IL,,,,Financial Services,,Phoenix CryptoLocker,,At least 2 weeks,1 month or less,,,,,,,https://www.bleepingcomputer.com/news/security/insurance-giant-cna-hit-by-new-phoenix-cryptolocker-ransomware/;https://www.gmtoday.com/news/illinois/cna-website-still-down-nearly-2-weeks-insurance-giant-calls-it-a-sophisticated-ransomware-attack/article_bbf51d2c-940b-11eb-931b-4330de77ab1e.html,,
915,3/21/2021,2021,,Town of Didsbury,Canada,,,,Government Facilities,,,,,,,,,,,,https://discoverairdrie.com/local/town-of-didsbury-victim-of-ransomware-attack,,
916,3/21/2021,2021,,Maharashtra Industrial Development Corporation (MIDC) IT systems,India,,,,Information Technology,,SYNack,,,,,,,,,,https://in.finance.yahoo.com/news/midcs-infra-faces-ransomware-attack-165457177.html,,
917,3/23/2021,2021,,Park School District,MO,,,,Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.kmbc.com/article/it-was-pretty-scary-alabama-family-survives-tornado-in-linen-closet/36021604,,
918,3/27/2021,2021,,Nine Entertainment,Australia,,,,Communications,,,,,,,,,,,,https://www.govinfosecurity.com/australian-tv-channel-disrupted-ransomware-suspected-a-16283,,
919,3/27/2021,2021,,The Harris Foundation,UK,,,,Education Facilities Subsector,,,,,,,,,,,,https://siliconangle.com/2021/03/30/uk-education-charity-harris-federation-struck-ransomware-attack/,,
920,3/31/2021,2021,,Boggi Milano,Global,,,,Commercial Facilities,,Ragnarok,,,,,,,,,,https://www.bloomberg.com/news/articles/2021-03-31/hackers-target-italian-menswear-boggi-milano-with-ransomware,,
921,3/31/2021,2021,,Pierre Fabre,France,,,,Chemical,,Revil/sodinokibi,S0496,,,,$50 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/leading-cosmetics-group-pierre-fabre-hit-with-25-million-ransomware-attack/,,
922,4/1/2021,2021,,J&B Importers,Global,,,,Critical Manufacturing,,,,5 days,1 week or less,,,,,,,https://www.bicycleretailer.com/industry-news/2021/04/01/j-b-importers-victimized-ransomware-attack#.YJruDehKg2w,,
923,4/1/2021,2021,April 2021,Asteelflash,France,,,,Critical Manufacturing,,Revil/sodinokibi,S0496,,,,$24 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/asteelflash-electronics-maker-hit-by-revil-ransomware-attack/,,
924,4/1/2021,2021,,Technological University Dublin (TU Dublin),Ireland,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-hits-tu-dublin-and-national-college-of-ireland/,,
925,4/1/2021,2021,April 2021,Hoya Vision Care US,US,,,,Critical Manufacturing,,Astro Team,,,,,,,,,,https://webcache.googleusercontent.com/search?q=cache:uFQrOR3SuZ8J:https://www.bloomberg.com/news/articles/2021-04-21/hackers-target-iconic-japan-s-toshiba-rival-hoya-with-ransomware+&cd=3&hl=en&ct=clnk&gl=us,,
926,4/1/2021,2021,April 2021,Houston Rockets NBA Team,TX,,,,Commercial Facilities,,Babuk,,,,,,,,,,https://www.jdsupra.com/legalnews/houston-rockets-hit-with-ransomware-3230204/,,
927,4/1/2021,2021,April 2021,Washington DC Metropolitan Police Department,DC,,,,Government Facilities,Emergency Services,Babuk,,,,,,,,,,https://www.wyomingpublicmedia.org/post/dc-police-department-victim-apparent-ransomware-attack#stream/0,,Unclear if data was encrypted or just leaked
928,4/1/2021,2021,April 2021,Santa Clara Valley Transportation Authority,CA,,,,Government Facilities,Transportation Systems,,,days,1 week or less,,,,,,,https://www.databreaches.net/ca-cyberattack-targets-santa-clara-valley-transportation-authority/,,
929,4/1/2021,2021,April 2021,Merseyrail (Rail network),UK,,,,Transportation Systems,,Lockbit,,,,,,,,,,https://www.information-age.com/merseyrail-likely-hit-by-lockbit-ransomware-attack-123494934/,,
930,4/1/2021,2021,April 2021,Unnamed biomolecular institute,Europe,,,,Education Facilities Subsector,Chemical,Ryuk,S0446,,,,,,,,,https://www.zdnet.com/article/ryuk-ransomware-finds-foothold-in-bio-research-institute-through-a-student-who-wouldnt-pay-for-software/,,
931,4/3/2021,2021,,City of Lawrence,MA,,,,Government Facilities,Emergency Services,,,,,,,,,,,https://www.boston25news.com/news/25-investigates/25-investigates-city-lawrence-hit-with-significant-ransomware-attack/GLIH7WZ4Q5GY5IFH4RANDP564M/,,
932,4/3/2021,2021,,Wrest Point and Launceston Country Club (2 Casinos),Australia,,,,Commercial Facilities,,,,,,,,,,,,https://www.theguardian.com/australia-news/2021/apr/13/poker-machines-in-tasmania-shut-down-after-ransomware-attack,,
933,4/3/2021,2021,,National College of Ireland (NCI),Ireland,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-hits-tu-dublin-and-national-college-of-ireland/,,
934,4/5/2021,2021,,Bakker Logistiek,Netherlands,,,,Transportation Systems,Food and Agriculture,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/dutch-supermarkets-run-out-of-cheese-after-ransomware-attack/,,
935,4/7/2021,2021,,Haverhill Public Schools,MA,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.nbcboston.com/news/local/ransomware-attack-prompts-haverhill-public-schools-to-close/2349314/,,
936,4/10/2021,2021,,Office of the Attorney General,IL,,,,Government Facilities,,DoppelPaymer,,1 month,1 month or less,,,,,,,https://www.wcia.com/illinois-capitol-news/attorney-generals-office-still-locked-out-of-computer-systems-nearly-month-after-ransomware-hack/,,Unclear if data was encrypted or just leaked
937,4/14/2021,2021,,SmileDirect,TN,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.nashvillepost.com/business/area_stocks/smiledirect-victim-of-ransomware-attack/article_c211a710-acd0-11eb-8a1d-970aa6e47a9f.html,,
938,4/16/2021,2021,,Unnamed Slovakian organizations,Slovakia,,,,Information Technology,,,,,,,,,,,,https://www.euractiv.com/section/politics/short_news/state-institution-in-slovakia-target-of-ransomware-attacks/,,
939,4/18/2021,2021,,Presque Isle Police Department,ME,,,,Government Facilities,Emergency Services,Avaddon,,,,,,,,,,https://bangordailynews.com/2021/04/27/news/aroostook/presque-isle-police-server-hacked-by-ransomware/,,
